job title,company name,location,description,links,date
National Specifications Engineer,Hilti ItaliaDubai · UAE,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72105983/,6 days ago
National Specifications Engineer,Hilti Italia,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106228/,6 days ago
National Specifications Engineer,Hilti Nederland BVDubai · UAE,Dubai · UAE,National Specifications Engineer We are looking for a National Specification Engineer to help increase Hilti Specifications by systematically…,https://www.bayt.com/en/uae/jobs/national-specifications-engineer-72106056/,6 days ago
MATERIAL ARCHITECT,Hilti Nederland BV,Dubai · UAE,Company Description Jobs for Humanity is collaborating with Atkins to build an inclusive and just employment ecosystem. We support…,https://www.bayt.com/en/uae/jobs/material-architect-72105128/,6 days ago
Senior Quantity Surveyor,Hilti Deutschland GmbHDubai · UAE,Dubai · UAE,"Company Description Work with Us. Change the World. At AECOM, we're delivering a better world. Whether improving your commute, keeping…",https://www.bayt.com/en/uae/jobs/senior-quantity-surveyor-72102857/,6 days ago
SENIOR MEP ENGINEER,Hilti Deutschland GmbH,Dubai · UAE,"About the job SENIOR MEP ENGINEER Key Responsibilities : Lead the design, planning, and implementation of Electrical/Mechanical systems …",https://www.bayt.com/en/uae/jobs/senior-mep-engineer-72100882/,7 days ago
"Mechanical Procurement Engineer (Gas left Compressor , Rotating Equipment)",Jobs for HumanityDubai · UAE,Dubai · UAE,Company Description We are constantly growing and are currently looking for an experienced Mechanical Procurement Engineer to join…,https://www.bayt.com/en/uae/jobs/mechanical-procurement-engineer-gas-left-compressor-rotating-equipment-72100388/,7 days ago
Sr. Proposal Engineer - Airport Cargo Handling Systems),Jobs for Humanity,Dubai · UAE,"Together, we make the difference Siemens Logistics is a leading provider of innovative and high-performance solutions for airport…",https://www.bayt.com/en/uae/jobs/sr-proposal-engineer-airport-cargo-handling-systems-72098796/,7 days ago
Senior Project Architect,AECOMDubai · UAE,Dubai · UAE,Help AG is looking for a talented and experienced Senior Project Architect who will play a crucial role in ensuring the success of…,https://www.bayt.com/en/uae/jobs/senior-project-architect-72101185/,7 days ago
Mechanical Procurement Engineer,AECOM,Dubai · UAE,Company Description We are constantly growing and are currently looking for an experienced Mechanical Procurement Engineer to join…,https://www.bayt.com/en/uae/jobs/mechanical-procurement-engineer-72100300/,7 days ago
LEAD STATIC MECHANIC ENGINEER,Duncan & RossDubai · UAE,Dubai · UAE,"About the job LEAD STATIC MECHANIC ENGINEER PURPOSE OF THE JOB: To lead the design, engineering, and execution of static equipment…",https://www.bayt.com/en/uae/jobs/lead-static-mechanic-engineer-72096576/,8 days ago
